status,sheet_row,row_id,column,accepted_value,backend_value
landed,11,721,Cargo type,,
landed,11,721,Cargo type [ref],,
landed,11,721,Propulsion type,,
landed,11,721,Propulsion type [ref],,
landed,11,721,Capacity,,
landed,11,721,Capacity [ref],,
landed,11,721,Capacity units,,
landed,11,721,Name,,
landed,11,721,Name [ref],,
landed,20,811,Name,,
landed,20,811,Name [ref],,
landed,21,971,Name,,
landed,21,971,Name [ref],,
landed,57,535,Name,,
landed,57,535,Name [ref],,
landed,62,1004,Name,,
landed,62,1004,Name [ref],,
landed,69,562,Name,,
landed,69,562,Name [ref],,
landed,70,648,Name,,
landed,70,648,Name [ref],,
landed,73,866,Name,,
landed,73,866,Name [ref],,
landed,81,416,Vessel type,,
landed,81,416,Vessel type [ref],,
landed,88,686,Name,,
landed,88,686,Name [ref],,
landed,88,686,Status,,
landed,88,686,Status [ref],,
landed,91,801,Name,,
landed,91,801,Name [ref],,
landed,114,958,Name,,
landed,114,958,Name [ref],,
landed,124,459,Name,,
landed,124,459,Name [ref],,
landed,144,1062,Name,,
landed,144,1062,Name [ref],,
landed,167,869,Name,,
landed,167,869,Name [ref],,
landed,190,377,Name,,
landed,190,377,Name [ref],,
landed,270,374,Vessel type,,
landed,270,374,Vessel type [ref],,
landed,294,437,Name,,
landed,294,437,Name [ref],,
landed,364,649,Name,,
landed,364,649,Name [ref],,
landed,446,467,Name,,
landed,446,467,Name [ref],,
landed,451,568,Vessel type,,
landed,451,568,Vessel type [ref],,
landed,451,568,Propulsion type,,
landed,451,568,Propulsion type [ref],,
landed,461,679,Name,,
landed,461,679,Name [ref],,
landed,499,563,Vessel type,,
landed,499,563,Vessel type [ref],,
landed,499,563,Propulsion type,,
landed,499,563,Propulsion type [ref],,
landed,500,565,Vessel type,,
landed,500,565,Vessel type [ref],,
landed,500,565,Propulsion type,,
landed,500,565,Propulsion type [ref],,
landed,501,573,Vessel type,,
landed,501,573,Vessel type [ref],,
landed,501,573,Propulsion type,,
landed,501,573,Propulsion type [ref],,
landed,503,599,Cargo type,,
landed,503,599,Cargo type [ref],,
landed,509,781,Vessel type,,
landed,509,781,Vessel type [ref],,
landed,509,781,Propulsion type,,
landed,509,781,Propulsion type [ref],,
landed,563,993,Name,,
landed,563,993,Name [ref],,
landed,584,559,Name,,
landed,584,559,Name [ref],,
landed,742,924,Name,,
landed,742,924,Name [ref],,
landed,751,39,Vessel type,,
landed,751,39,Vessel type [ref],,
landed,751,39,Cargo type,,
landed,751,39,Cargo type [ref],,
landed,752,40,Vessel type,,
landed,752,40,Vessel type [ref],,
landed,752,40,Delivery year,,
landed,752,40,Delivery year [ref],,
landed,752,40,Previous delivery year(s),,
landed,752,40,Previous delivery year(s) [ref],,
landed,752,40,Delivery delayed,,
landed,753,41,Vessel type,,
landed,753,41,Vessel type [ref],,
landed,753,41,Delivery year,,
landed,753,41,Delivery year [ref],,
landed,753,41,Previous delivery year(s),,
landed,753,41,Previous delivery year(s) [ref],,
landed,753,41,Delivery delayed,,
landed,754,42,Vessel type,,
landed,754,42,Vessel type [ref],,
landed,754,42,Delivery year,,
landed,754,42,Delivery year [ref],,
landed,754,42,Previous delivery year(s),,
landed,754,42,Previous delivery year(s) [ref],,
landed,754,42,Delivery delayed,,
landed,755,59,Vessel type,,
landed,755,59,Vessel type [ref],,
landed,755,59,Cargo type,,
landed,755,59,Cargo type [ref],,
landed,756,93,Vessel type,,
landed,756,93,Vessel type [ref],,
landed,756,93,Cargo type,,
landed,756,93,Cargo type [ref],,
landed,757,95,Vessel type,,
landed,757,95,Vessel type [ref],,
landed,757,95,Cargo type,,
landed,757,95,Cargo type [ref],,
landed,758,97,Vessel type,,
landed,758,97,Vessel type [ref],,
landed,758,97,Cargo type,,
landed,758,97,Cargo type [ref],,
landed,759,104,Vessel type,,
landed,759,104,Vessel type [ref],,
landed,759,104,Cargo type,,
landed,759,104,Cargo type [ref],,
landed,760,105,Vessel type,,
landed,760,105,Vessel type [ref],,
landed,760,105,Cargo type,,
landed,760,105,Cargo type [ref],,
landed,761,106,Vessel type,,
landed,761,106,Vessel type [ref],,
landed,761,106,Cargo type,,
landed,761,106,Cargo type [ref],,
landed,761,106,Propulsion type,,
landed,761,106,Propulsion type [ref],,
landed,762,107,Vessel type,,
landed,762,107,Vessel type [ref],,
landed,762,107,Cargo type,,
landed,762,107,Cargo type [ref],,
landed,763,110,Vessel type,,
landed,763,110,Vessel type [ref],,
landed,763,110,Cargo type,,
landed,763,110,Cargo type [ref],,
landed,764,111,Vessel type,,
landed,764,111,Vessel type [ref],,
landed,764,111,Cargo type,,
landed,764,111,Cargo type [ref],,
landed,765,112,Vessel type,,
landed,765,112,Vessel type [ref],,
landed,765,112,Cargo type,,
landed,765,112,Cargo type [ref],,
landed,765,112,Propulsion type,,
landed,765,112,Propulsion type [ref],,
landed,766,114,Vessel type,,
landed,766,114,Vessel type [ref],,
landed,766,114,Cargo type,,
landed,766,114,Cargo type [ref],,
landed,767,115,Vessel type,,
landed,767,115,Vessel type [ref],,
landed,767,115,Cargo type,,
landed,767,115,Cargo type [ref],,
landed,768,116,Vessel type,,
landed,768,116,Vessel type [ref],,
landed,768,116,Delivery year,,
landed,768,116,Delivery year [ref],,
landed,768,116,Previous delivery year(s),,
landed,768,116,Previous delivery year(s) [ref],,
landed,768,116,Delivery delayed,,
landed,769,117,Vessel type,,
landed,769,117,Vessel type [ref],,
landed,769,117,Delivery year,,
landed,769,117,Delivery year [ref],,
landed,769,117,Previous delivery year(s),,
landed,769,117,Previous delivery year(s) [ref],,
landed,769,117,Delivery delayed,,
landed,770,118,Vessel type,,
landed,770,118,Vessel type [ref],,
landed,770,118,Delivery year,,
landed,770,118,Delivery year [ref],,
landed,770,118,Previous delivery year(s),,
landed,770,118,Previous delivery year(s) [ref],,
landed,770,118,Delivery delayed,,
landed,771,121,Vessel type,,
landed,771,121,Vessel type [ref],,
landed,771,121,Delivery year,,
landed,771,121,Delivery year [ref],,
landed,771,121,Previous delivery year(s),,
landed,771,121,Previous delivery year(s) [ref],,
landed,771,121,Delivery delayed,,
landed,772,180,Vessel type,,
landed,772,180,Vessel type [ref],,
landed,772,180,Cargo type,,
landed,772,180,Cargo type [ref],,
landed,773,182,Vessel type,,
landed,773,182,Vessel type [ref],,
landed,773,182,Cargo type,,
landed,773,182,Cargo type [ref],,
landed,774,183,Vessel type,,
landed,774,183,Vessel type [ref],,
landed,774,183,Delivery year,,
landed,774,183,Delivery year [ref],,
landed,774,183,Previous delivery year(s),,
landed,774,183,Previous delivery year(s) [ref],,
landed,774,183,Delivery delayed,,
landed,775,226,Vessel type,,
landed,775,226,Vessel type [ref],,
landed,775,226,Cargo type,,
landed,775,226,Cargo type [ref],,
landed,776,230,Vessel type,,
landed,776,230,Vessel type [ref],,
landed,776,230,Cargo type,,
landed,776,230,Cargo type [ref],,
landed,777,257,Vessel type,,
landed,777,257,Vessel type [ref],,
landed,777,257,Cargo type,,
landed,777,257,Cargo type [ref],,
landed,778,261,Vessel type,,
landed,778,261,Vessel type [ref],,
landed,778,261,Cargo type,,
landed,778,261,Cargo type [ref],,
landed,779,262,Vessel type,,
landed,779,262,Vessel type [ref],,
landed,779,262,Cargo type,,
landed,779,262,Cargo type [ref],,
landed,780,266,Vessel type,,
landed,780,266,Vessel type [ref],,
landed,780,266,Cargo type,,
landed,780,266,Cargo type [ref],,
landed,780,266,Name,,
landed,780,266,Name [ref],,
landed,781,267,Vessel type,,
landed,781,267,Vessel type [ref],,
landed,781,267,Cargo type,,
landed,781,267,Cargo type [ref],,
landed,781,267,Name,,
landed,781,267,Name [ref],,
landed,782,276,Vessel type,,
landed,782,276,Vessel type [ref],,
landed,782,276,Cargo type,,
landed,782,276,Cargo type [ref],,
landed,783,277,Vessel type,,
landed,783,277,Vessel type [ref],,
landed,783,277,Cargo type,,
landed,783,277,Cargo type [ref],,
landed,784,288,Vessel type,,
landed,784,288,Vessel type [ref],,
landed,784,288,Cargo type,,
landed,784,288,Cargo type [ref],,
landed,785,371,Vessel type,,
